"","company_final","Count"
"433","sirius computer",1
"434","sirius xm",1
"435","six stars",1
"436","sky touch",2
"437","sonata services",1
"438","soochow securities",1
"439","south eugene",1
"440","southwest airlines,",1
"441","sp richards",2
"442","spa instruments",1
"443","sparefoot",2
"444","speed commerce",1
"445","spirent",2
"446","spoton.com",1
"447","sprint nextel",1
"448","sr freddie",1
"449","sra international,",1
"450","st. edward's",1
"451","stanfield systems",1
"452","stanford institute",2
"453","stanford university",6
"454","stanley black",2
"455","state of michigan",2
"456","state of north",1
"457","state of wisconsin",1
"458","state street",5
"459","statestreet",1
"460","stevens institute",1
"461","stirplate",1
"462","strategic support",1
"463","sun edison",1
"464","suntrust bank",1
"465","supercare",1
"466","supervalu inc",2
"467","supreme court",1
"468","surgical tools",1
"469","symbiont",1
"470","synnex",1
"471","syntel",1
"472","sysomos inc",2
"473","u.s securities",1
"474","u.s. naval",2
"475","ucsb earth",2
"476","ucsf sabes",1
"477","unc charlotte",2
"478","unisys",2
"479","united guaranty",3
"480","united health",2
"481","united services",1
"482","unitedhealth group",1
"483","univ. of california",1
"484","university of cambridge,",2
"485","university of central",4
"486","university of colorado",2
"487","university of florida",3
"488","university of houston",1
"489","university of houston,",2
"490","university of iowa",4
"491","university of maryland",2
"492","university of massachusetts",2
"493","university of michigan",4
"494","university of montreal",1
"495","university of north",3
"496","university of pittsburgh",2
"497","university of rhode",2
"498","university of utah",1
"499","university of washington",2
"500","upmc company",2
"501","uprev",1
"502","upward automation",1
"503","us army",3
"504","us securities",1
"505","using roundup.",2
"506","v5 systems",2
"507","va richmond",1
"508","value options",1
"509","vanco payment",1
"510","vanderbilt university",1
"511","velexi corporation",1
"512","ventyx",1
"513","verdante bioenergy",1
"514","verisage",1
"515","verizon",26
"516","versify solutions",1
"517","visa",10
"518","visa inc",1
"519","visteon corporation",1
"520","walmart",3
"521","walt disney",2
"522","waston innovations",2
"523","wayne state",2
"524","webfaction",1
"525","website pipeline",1
"526","weehawken, nj",2
"527","welcome aboard",2
"528","wellington management",1
"529","wells fargo",19
"530","wells fargo,",2
"531","wesgrow software",1
"532","western digital",4
"533","wicked analytics",2
"534","wilbur ellis",1
"535","wilmington, de",3
"536","wipro accuen",2
"537","wolters kluwer",2
"538","worcester polytechnic",1
"539","worker marshall",1
"540","worldquant, llc.",1
"541","www.maslennikov.us",1
"542","www.x-cd.com completely",1
"543","wyncode academy",2
"544","xerox corporation",1
"545","xiquant inc",2
"546","xlhybrids",1
"547","xmx solutions",1
"548","you-gene",1
"549","zappos, nv",2
"550","zappos.com, inc",1
"551","zcrowd, inc",2
"552","zenefits",1
"553",NA,177
